Details,Posting Date,Description,Amount,Type,Account Head,Statement
DEBIT,5/1/2023,SERVICE CHARGES FOR THE MONTH OF APRIL,-40,FEE_TRANSACTION,Bank Fee,Profit and Loss
DEBIT,9/1/2023,SERVICE CHARGES FOR THE MONTH OF AUGUST,-30,FEE_TRANSACTION,Bank Fee,Profit and Loss
DEBIT,12/1/2023,SERVICE CHARGES FOR THE MONTH OF NOVEMBER,-30,FEE_TRANSACTION,Bank Fee,Profit and Loss
DEBIT,11/1/2023,SERVICE CHARGES FOR THE MONTH OF OCTOBER,-30,FEE_TRANSACTION,Bank Fee,Profit and Loss
DEBIT,10/2/2023,SERVICE CHARGES FOR THE MONTH OF SEPTEMBER,-30,FEE_TRANSACTION,Bank Fee,Profit and Loss
DEBIT,8/3/2023,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: MASHREQBANK PSC., NEW YORK BRANCH/0174 A/C: MASHREQBANK PSC DUBAI, UNITED ARAB EMIRATES BEN: SM ENTERPRISES MASHREQ AJMAN 500001 AE SSN: 0169077 TRN: 3046323215ES 08/03",-2700,WIRE_OUTGOING,Business Expenses,Profit and Loss
DEBIT,3/10/2023,Online Transfer to CHK ...0821 transaction#: 16788147170 03/10,-4200,ACCT_XFER,Chase Personal Account,Balance Sheet
DEBIT,6/6/2023,Online Transfer to CHK ...0821 transaction#: 17550155911 06/06,-3000,ACCT_XFER,Chase Personal Account,Balance Sheet
DEBIT,12/11/2023,Online Transfer to CHK ...0821 transaction#: 19241432635 12/11,-3100,ACCT_XFER,Chase Personal Account,Balance Sheet
DEBIT,1/4/2023,ONLINE DOMESTIC WIRE TRANSFER VIA: COMMUNITY FSB/026073008 A/C: HAN GE DIAN ZI SHANG WU YOU XIAN WOODHAVEN NY 11421 US REF:/ACC/ABA/026073202 COMMUNITY FEDERAL SAVINGS BANK 89-16 JAMAICA AVEN U E QUEENS NY 11421 US IMAD: 0104B1QGC08C008518 TRN: 3079873004ES 01/04,-50000,WIRE_OUTGOING,Cost of Goods Sold,Profit and Loss
DEBIT,2/6/2023,ONLINE DOMESTIC WIRE TRANSFER VIA: COMMUNITY FSB/026073008 A/C: HAN GE DIAN ZI SHANG WU YOU XIAN WOODHAVEN NY 11421 US REF:/ACC/ABA/026073202 COMMUNITY FEDERAL SAVINGS BANK 89-16 JAMAICA AVEN U E QUEENS NY 11421 US IMAD: 0206B1QGC08C005741 TRN: 3043063037ES 02/06,-46623,WIRE_OUTGOING,Cost of Goods Sold,Profit and Loss
DEBIT,20/3/2023,ONLINE DOMESTIC WIRE TRANSFER VIA: COMMUNITY FSB/026073008 A/C: HAN GE DIAN ZI SHANG WU YOU XIAN WOODHAVEN NY 11421 US REF:/ACC/ABA/026073202 COMMUNITY FEDERAL SAVINGS BANK 89-16 JAMAICA AVEN U E QUEENS NY 11421 US IMAD: 0320B1QGC07C009632 TRN: 3234283079ES 03/20,-35644,WIRE_OUTGOING,Cost of Goods Sold,Profit and Loss
DEBIT,8/2/2023,ONLINE DOMESTIC WIRE TRANSFER VIA: COMMUNITY FSB/026073008 A/C: HAN GE DIAN ZI SHANG WU YOU XIAN WOODHAVEN NY 11421 US REF:/ACC/ABA/026073202 COMMUNITY FEDERAL SAVINGS BANK 89-16 JAMAICA AVEN U E QUEENS NY 11421 US IMAD: 0802B1QGC08C007867 TRN: 3171903214ES 08/02,-50000,WIRE_OUTGOING,Cost of Goods Sold,Profit and Loss
DEBIT,20/4/2023,ONLINE DOMESTIC WIRE TRANSFER VIA: COMMUNITY FSB/026073008 A/C: RED SHARK ECOMMERCE CO LIMITED QUEENS NY 11421 US IMAD: 0420B1QGC07C014217 TRN: 3233083110ES 04/20,-43340,WIRE_OUTGOING,Cost of Goods Sold,Profit and Loss
DEBIT,26/1/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230125 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000028614506 EED:230126   IND ID:                             IND NAME:RAO VIJAY P TRN: 0268614506TC,-1700.48,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/1/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230125 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000028615103 EED:230126   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 0268615103TC,-12132.98,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,27/2/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230224 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000023579559 EED:230227   IND ID:                             IND NAME:RAO VIJAY P TRN: 0583579559TC,-3255.52,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,27/2/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230224 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000023580832 EED:230227   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 0583580832TC,-13793.65,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,27/3/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230324 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000020216074 EED:230327   IND ID:                             IND NAME:RAO VIJAY P TRN: 0860216074TC,-2041.87,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,27/3/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230324 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000020217508 EED:230327   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 0860217508TC,-8385.26,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/4/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230425 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000024867126 EED:230426   IND ID:                             IND NAME:RAO VIJAY P TRN: 1164867126TC,-494.71,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/5/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230525 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000022125754 EED:230526   IND ID:                             IND NAME:RAO VIJAY P TRN: 1462125754TC,-3625.38,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/5/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230525 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000022126433 EED:230526   IND ID:                             IND NAME:SIVARAJU VIJAY TRN: 1462126433TC,-3599.74,ACH_DEBIT,Credit Card Repayment,Balance Sheet
DEBIT,26/6/2023,ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:230625 CO ENTRY DESCR:AUTOPAY   SEC:PPD    TRACE#:021000023523252 EED:230626   IND ID:                             IND NAME:RAO VIJAY P TRN: 1773523252TC,-17013.81,ACH_DEBIT,Credit Card Repayment,Balance Sheet
